user_id,item_id,rating
user49,item22,5
user86,item25,2
user59,item9,3
user57,item50,4
user19,item44,3
user39,item37,2
user39,item23,5
user62,item41,4
user72,item39,3
user27,item14,5
user83,item45,3
user4,item28,4
user22,item50,2
user4,item45,5
user26,item19,5
user49,item44,3
user18,item33,1
user98,item47,4
user84,item22,4
user12,item42,2
user76,item7,4
user82,item12,1
user50,item25,1
user56,item43,1
user62,item24,5
user29,item20,2
user42,item30,1
user90,item31,5
user73,item18,4
user90,item26,3
user96,item40,5
user45,item31,4
user88,item22,1
user76,item12,5
user27,item3,1
user34,item26,3
user42,item2,1
user23,item8,5
user49,item25,5
user86,item27,5
user29,item44,1
user19,item25,5
user72,item9,1
user42,item21,4
user52,item48,5
user60,item26,3
user48,item9,5
user27,item33,1
user24,item46,2
user35,item36,3
user93,item34,1
user59,item42,2
user2,item48,5
user94,item41,5
user93,item33,4
user17,item45,5
user24,item19,1
user15,item26,2
user77,item31,3
user29,item17,4
user22,item43,5
user74,item50,3
user47,item15,5
user51,item18,2
user56,item46,1
user7,item14,5
user95,item10,2
user45,item31,2
user55,item4,3
user99,item24,5
user40,item50,2
user77,item13,2
user82,item14,4
user39,item34,2
user14,item37,4
user78,item23,4
user26,item23,3
user37,item14,2
user56,item25,3
user67,item3,4
user7,item6,4
user9,item10,4
user52,item18,2
user63,item18,3
user51,item10,2
user45,item30,2
user35,item17,3
user90,item50,3
user91,item35,3
user77,item23,2
user82,item4,5
user74,item34,3
user13,item12,4
user34,item38,3
user87,item24,2
user24,item3,4
user7,item41,4
user6,item23,3
user45,item9,4
user92,item41,4
